room_number,floor,room_type
301,3,Deluxe
302,3,Deluxe
303,3,Deluxe
304,3,Deluxe
305,3,Deluxe
306,3,Deluxe
307,3,Deluxe
308,3,Deluxe
309,3,Deluxe
310,3,Deluxe
311,3,Deluxe
312,3,Deluxe
313,3,Deluxe
314,3,Deluxe
315,3,Deluxe
316,3,Deluxe
317,3,Deluxe
318,3,Deluxe
319,3,Deluxe
320,3,Deluxe
321,3,Grand Deluxe
322,3,Grand Deluxe
323,3,Grand Deluxe
324,3,Grand Deluxe
325,3,Grand Deluxe
326,3,Grand Deluxe
327,3,Grand Deluxe
328,3,Grand Deluxe
329,3,Grand Deluxe
330,3,Grand Deluxe
331,3,Grand Deluxe
332,3,Grand Deluxe
333,3,Superior
334,3,Superior
335,3,Superior
336,3,Superior
337,3,Superior
338,3,Superior
339,3,Superior
340,3,Superior
341,3,Superior
342,3,Superior
343,3,Suite
344,3,Suite
401,4,Deluxe
402,4,Deluxe
403,4,Deluxe
404,4,Deluxe
405,4,Deluxe
406,4,Deluxe
407,4,Deluxe
408,4,Deluxe
409,4,Deluxe
410,4,Deluxe
411,4,Deluxe
412,4,Deluxe
413,4,Deluxe
414,4,Deluxe
415,4,Deluxe
416,4,Deluxe
417,4,Deluxe
418,4,Deluxe
419,4,Deluxe
420,4,Deluxe
421,4,Grand Deluxe
422,4,Grand Deluxe
423,4,Grand Deluxe
424,4,Grand Deluxe
425,4,Grand Deluxe
426,4,Grand Deluxe
427,4,Grand Deluxe
428,4,Grand Deluxe
429,4,Grand Deluxe
430,4,Grand Deluxe
431,4,Grand Deluxe
432,4,Grand Deluxe
433,4,Superior
434,4,Superior
435,4,Superior
436,4,Superior
437,4,Superior
438,4,Superior
439,4,Superior
440,4,Superior
441,4,Superior
442,4,Superior
443,4,Suite
444,4,Suite
501,5,Deluxe
502,5,Deluxe
503,5,Deluxe
504,5,Deluxe
505,5,Deluxe
506,5,Deluxe
507,5,Deluxe
508,5,Deluxe
509,5,Deluxe
510,5,Deluxe
511,5,Deluxe
512,5,Deluxe
513,5,Deluxe
514,5,Deluxe
515,5,Deluxe
516,5,Deluxe
517,5,Deluxe
518,5,Deluxe
519,5,Grand Deluxe
520,5,Grand Deluxe
521,5,Grand Deluxe
522,5,Grand Deluxe
523,5,Grand Deluxe
524,5,Grand Deluxe
525,5,Grand Deluxe
526,5,Grand Deluxe
527,5,Grand Deluxe
528,5,Grand Deluxe
529,5,Grand Deluxe
530,5,Grand Deluxe
531,5,Superior
532,5,Superior
533,5,Superior
534,5,Superior
535,5,Superior
536,5,Superior
537,5,Superior
538,5,Superior
539,5,Superior
540,5,Superior
541,5,Suite
542,5,Suite
601,6,Deluxe
602,6,Deluxe
603,6,Deluxe
604,6,Deluxe
605,6,Deluxe
606,6,Deluxe
607,6,Deluxe
608,6,Deluxe
609,6,Deluxe
610,6,Deluxe
611,6,Deluxe
612,6,Deluxe
613,6,Deluxe
614,6,Deluxe
615,6,Grand Deluxe
616,6,Grand Deluxe
617,6,Grand Deluxe
618,6,Grand Deluxe
619,6,Grand Deluxe
620,6,Grand Deluxe
621,6,Grand Deluxe
622,6,Grand Deluxe
623,6,Grand Deluxe
624,6,Grand Deluxe
625,6,Grand Deluxe
626,6,Grand Deluxe
627,6,Superior
628,6,Superior
629,6,Superior
630,6,Superior
631,6,Superior
632,6,Superior
633,6,Suite
634,6,Suite
635,6,Suite
636,6,Suite
637,6,Suite
638,6,Suite
